,Accession,Submitters,Species,Segment,Geo_Location,Isolation_Source,Collection_Date,date,dayofyear,week,lat,long,lengthofday
80,ON123583,"Espejo,V.I., Troncos,G.M., Cruz,C.D., Olivos,J.M., Ramos,R.E., Chuquirachi,F.J., Ocana,V.R., Holguin,C.E., Cedano,L.E., Ampuero,J.S., Tinoco,Y.O., Graf,P.C.",Dengue virus,,Peru,blood,2021-08-11,2021-08-11,223.0,32,-6.8699697,-75.0458515,12.581154588685434
81,ON123584,"Espejo,V.I., Troncos,G.M., Cruz,C.D., Olivos,J.M., Ramos,R.E., Chuquirachi,F.J., Ocana,V.R., Holguin,C.E., Cedano,L.E., Ampuero,J.S., Tinoco,Y.O., Graf,P.C.",Dengue virus,,Peru,blood,2021-05-04,2021-05-04,124.0,18,-6.8699697,-75.0458515,12.581359275843248
82,ON123585,"Espejo,V.I., Troncos,G.M., Cruz,C.D., Olivos,J.M., Ramos,R.E., Chuquirachi,F.J., Ocana,V.R., Holguin,C.E., Cedano,L.E., Ampuero,J.S., Tinoco,Y.O., Graf,P.C.",Dengue virus,,Peru,blood,2021-05-07,2021-05-07,127.0,18,-6.8699697,-75.0458515,12.569579578267668
83,ON123586,"Espejo,V.I., Troncos,G.M., Cruz,C.D., Olivos,J.M., Ramos,R.E., Chuquirachi,F.J., Ocana,V.R., Holguin,C.E., Cedano,L.E., Ampuero,J.S., Tinoco,Y.O., Graf,P.C.",Dengue virus,,Peru,blood,2021-05-07,2021-05-07,127.0,18,-6.8699697,-75.0458515,12.569579578267668
84,ON123587,"Espejo,V.I., Troncos,G.M., Cruz,C.D., Olivos,J.M., Ramos,R.E., Chuquirachi,F.J., Ocana,V.R., Holguin,C.E., Cedano,L.E., Ampuero,J.S., Tinoco,Y.O., Graf,P.C.",Dengue virus,,Peru,blood,2021-05-10,2021-05-10,130.0,19,-6.8699697,-75.0458515,12.5584662159011
85,ON123588,"Espejo,V.I., Troncos,G.M., Cruz,C.D., Olivos,J.M., Ramos,R.E., Chuquirachi,F.J., Ocana,V.R., Holguin,C.E., Cedano,L.E., Ampuero,J.S., Tinoco,Y.O., Graf,P.C.",Dengue virus,,Peru,blood,2021-05-10,2021-05-10,130.0,19,-6.8699697,-75.0458515,12.5584662159011
86,ON123589,"Espejo,V.I., Troncos,G.M., Cruz,C.D., Olivos,J.M., Ramos,R.E., Chuquirachi,F.J., Ocana,V.R., Holguin,C.E., Cedano,L.E., Ampuero,J.S., Tinoco,Y.O., Graf,P.C.",Dengue virus,,Peru,blood,2021-07-13,2021-07-13,194.0,28,-6.8699697,-75.0458515,12.496519230027442
87,ON123590,"Espejo,V.I., Troncos,G.M., Cruz,C.D., Olivos,J.M., Ramos,R.E., Chuquirachi,F.J., Ocana,V.R., Holguin,C.E., Cedano,L.E., Ampuero,J.S., Tinoco,Y.O., Graf,P.C.",Dengue virus,,Peru,blood,2021-07-16,2021-07-16,197.0,28,-6.8699697,-75.0458515,12.502147100120798
88,ON123591,"Espejo,V.I., Troncos,G.M., Cruz,C.D., Olivos,J.M., Ramos,R.E., Chuquirachi,F.J., Ocana,V.R., Holguin,C.E., Cedano,L.E., Ampuero,J.S., Tinoco,Y.O., Graf,P.C.",Dengue virus,,Peru,blood,2021-07-16,2021-07-16,197.0,28,-6.8699697,-75.0458515,12.502147100120798
89,ON123592,"Espejo,V.I., Troncos,G.M., Cruz,C.D., Olivos,J.M., Ramos,R.E., Chuquirachi,F.J., Ocana,V.R., Holguin,C.E., Cedano,L.E., Ampuero,J.S., Tinoco,Y.O., Graf,P.C.",Dengue virus,,Peru,blood,2021-08-20,2021-08-20,232.0,33,-6.8699697,-75.0458515,12.620329716975379
